'vhigh', 'med', '4', '4', 'small', 'low'
'vhigh', 'med', '4', '4', 'small', 'med'
'vhigh', 'med', '4', '4', 'small', 'high'
'vhigh', 'med', '4', '4', 'med', 'low'
'vhigh', 'med', '4', '4', 'med', 'med'
'vhigh', 'med', '4', '4', 'med', 'high'
'vhigh', 'med', '4', '4', 'big', 'low'
'vhigh', 'med', '4', '4', 'big', 'med'
'vhigh', 'med', '4', '4', 'big', 'high'
'vhigh', 'med', '4', 'more', 'small', 'low'
'vhigh', 'med', '4', 'more', 'small', 'med'
'vhigh', 'med', '4', 'more', 'small', 'high'
'vhigh', 'med', '4', 'more', 'med', 'low'
'vhigh', 'med', '4', 'more', 'med', 'med'
'vhigh', 'med', '4', 'more', 'med', 'high'
'vhigh', 'med', '4', 'more', 'big', 'low'
'vhigh', 'med', '4', 'more', 'big', 'med'
'vhigh', 'med', '4', 'more', 'big', 'high'
'high', 'med', '4', '4', 'small', 'low'
'high', 'med', '4', '4', 'small', 'med'
'high', 'med', '4', '4', 'small', 'high'
'high', 'med', '4', '4', 'med', 'low'
'high', 'med', '4', '4', 'med', 'med'
'high', 'med', '4', '4', 'med', 'high'
'high', 'med', '4', '4', 'big', 'low'
'high', 'med', '4', '4', 'big', 'med'
'high', 'med', '4', '4', 'big', 'high'
'high', 'med', '4', 'more', 'small', 'low'
'high', 'med', '4', 'more', 'small', 'med'
'high', 'med', '4', 'more', 'small', 'high'
'high', 'med', '4', 'more', 'med', 'low'
'high', 'med', '4', 'more', 'med', 'med'
'high', 'med', '4', 'more', 'med', 'high'
'high', 'med', '4', 'more', 'big', 'low'
'high', 'med', '4', 'more', 'big', 'med'
'high', 'med', '4', 'more', 'big', 'high'
'med', 'med', '4', '4', 'small', 'low'
'med', 'med', '4', '4', 'small', 'med'
'med', 'med', '4', '4', 'small', 'high'
'med', 'med', '4', '4', 'med', 'low'
'med', 'med', '4', '4', 'med', 'med'
'med', 'med', '4', '4', 'med', 'high'
'med', 'med', '4', '4', 'big', 'low'
'med', 'med', '4', '4', 'big', 'med'
'med', 'med', '4', '4', 'big', 'high'
'med', 'med', '4', 'more', 'small', 'low'
'med', 'med', '4', 'more', 'small', 'med'
'med', 'med', '4', 'more', 'small', 'high'
'med', 'med', '4', 'more', 'med', 'low'
'med', 'med', '4', 'more', 'med', 'med'
'med', 'med', '4', 'more', 'med', 'high'
'med', 'med', '4', 'more', 'big', 'low'
'med', 'med', '4', 'more', 'big', 'med'
'med', 'med', '4', 'more', 'big', 'high'
'low', 'med', '4', '4', 'small', 'low'
'low', 'med', '4', '4', 'small', 'med'
'low', 'med', '4', '4', 'small', 'high'
'low', 'med', '4', '4', 'med', 'low'
'low', 'med', '4', '4', 'med', 'med'
'low', 'med', '4', '4', 'med', 'high'
'low', 'med', '4', '4', 'big', 'low'
'low', 'med', '4', '4', 'big', 'med'
'low', 'med', '4', '4', 'big', 'high'
'low', 'med', '4', 'more', 'small', 'low'
'low', 'med', '4', 'more', 'small', 'med'
'low', 'med', '4', 'more', 'small', 'high'
'low', 'med', '4', 'more', 'med', 'low'
'low', 'med', '4', 'more', 'med', 'med'
'low', 'med', '4', 'more', 'med', 'high'
'low', 'med', '4', 'more', 'big', 'low'
'low', 'med', '4', 'more', 'big', 'med'
'low', 'med', '4', 'more', 'big', 'high'
