+----------------------------------------------------------------------------------------------------------------------------------+----------+----------+----------+----------+----------+
|                                                               URL                                                                |  Anger   | Disgust  |   Fear   |   Joy    | Sadness  |
+----------------------------------------------------------------------------------------------------------------------------------+----------+----------+----------+----------+----------+
|               https://www.whitehouse.gov/the-press-office/2017/02/28/president-trump-delivers-jobs-american-people               | 0.076949 | 0.171288 | 0.212937 | 0.195708 | 0.511923 |
|  https://www.whitehouse.gov/the-press-office/2017/02/28/president-trumps-first-40-days-action-achieving-results-american-people  | 0.111032 | 0.523134 | 0.459982 | 0.174596 | 0.525419 |
|     https://www.whitehouse.gov/the-press-office/2017/02/28/excerpts-president-donald-j-trumps-address-joint-session-congress     |  0.1061  | 0.477654 | 0.535317 | 0.212615 | 0.500224 |
|         https://www.whitehouse.gov/the-press-office/2017/02/28/president-donald-j-trump-signs-hr-255-hr-321-and-hjres-40         | 0.059734 | 0.144637 | 0.204667 | 0.461046 | 0.43606  |
|  https://www.whitehouse.gov/the-press-office/2017/02/28/president-donald-j-trump-and-first-lady-melania-trump-announce-special   | 0.091858 | 0.211268 | 0.124568 | 0.223941 | 0.515639 |
|    https://www.whitehouse.gov/the-press-office/2017/02/27/readout-white-house-historically-black-colleges-universities-hbcus     | 0.167965 | 0.181981 | 0.152671 | 0.344294 | 0.229141 |
|      https://www.whitehouse.gov/the-press-office/2017/02/27/icymi-president-trump-seeks-outdo-obama-backing-black-colleges       | 0.121753 | 0.456011 |  0.3975  | 0.225977 | 0.49109  |
|    https://www.whitehouse.gov/the-press-office/2017/02/27/background-briefing-president-donald-j-trumps-address-joint-session    | 0.079749 | 0.453194 | 0.22078  | 0.248772 | 0.196423 |
|   https://www.whitehouse.gov/the-press-office/2017/02/27/white-house-national-economic-council-director-announces-senior-staff   | 0.137349 | 0.439855 | 0.152614 | 0.25336  | 0.456755 |
|  https://www.whitehouse.gov/the-press-office/2017/02/26/president-donald-j-trump-and-first-lady-melania-trump-welcome-governors  | 0.095058 | 0.117273 | 0.044374 | 0.584157 | 0.224322 |
|                       https://www.whitehouse.gov/the-press-office/2017/02/26/top-highlights-sundays-shows                        | 0.150362 | 0.14907  | 0.177366 | 0.198779 | 0.491437 |
|                https://www.whitehouse.gov/the-press-office/2017/02/24/president-trump-cuts-through-more-red-tape                 | 0.134791 | 0.465765 | 0.164873 | 0.162636 | 0.566502 |
|       https://www.whitehouse.gov/the-press-office/2017/02/24/icymi-president-trumps-focus-brings-renewed-optimism-americas       | 0.103966 | 0.133555 | 0.141119 | 0.517008 | 0.292928 |
| https://www.whitehouse.gov/the-press-office/2017/02/21/readout-vice-presidents-meeting-australian-foreign-minister-julie-bishop  | 0.201985 | 0.421561 | 0.104742 | 0.25177  | 0.118844 |
|        https://www.whitehouse.gov/the-press-office/2017/02/21/statement-president-donald-j-trump-death-russias-permanent         | 0.07852  | 0.463356 | 0.530373 | 0.119062 | 0.514564 |
| https://www.whitehouse.gov/the-press-office/2017/02/20/president-donald-j-trump-names-lt-general-hr-mcmaster-assistant-president | 0.10445  | 0.445457 | 0.18516  | 0.454656 | 0.215788 |
|  https://www.whitehouse.gov/the-press-office/2017/02/20/president-donald-j-trumps-first-month-achieving-results-american-people  | 0.122517 | 0.488334 | 0.17635  | 0.112303 | 0.539399 |
|   https://www.whitehouse.gov/the-press-office/2017/02/19/readout-vice-presidents-meeting-belgian-prime-minister-charles-michel   | 0.137342 | 0.139128 | 0.223489 | 0.170102 | 0.655916 |
|   https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-ukrainian-president-petro-poroshenko    | 0.377504 | 0.124553 | 0.034716 | 0.25132  | 0.269468 |
|      https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-prime-minister-yildirim-turkey       | 0.107095 | 0.217157 | 0.408913 | 0.119233 | 0.544758 |
|         https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-prime-minister-abadi-iraq         | 0.111919 | 0.279179 | 0.429791 | 0.146336 | 0.247627 |
|     https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-president-ghani-islamic-republic      | 0.100505 | 0.205817 | 0.091148 | 0.282039 | 0.418684 |
|      https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-german-chancellor-angela-merkel      | 0.119519 | 0.184441 | 0.425564 | 0.176683 | 0.535494 |
|           https://www.whitehouse.gov/the-press-office/2017/02/17/president-trump-approves-nevada-disaster-declaration            | 0.206963 | 0.222827 | 0.436042 | 0.122926 | 0.251999 |
|  https://www.whitehouse.gov/the-press-office/2017/02/16/readout-vice-presidents-african-american-economic-opportunity-listening  | 0.115303 | 0.147957 | 0.529167 | 0.567079 | 0.232428 |
|               https://www.whitehouse.gov/the-press-office/2017/02/16/icymi-democrats-supreme-court-double-standard               | 0.157932 | 0.15133  | 0.192833 | 0.202267 | 0.51552  |
|              https://www.whitehouse.gov/the-press-office/2017/02/16/president-trump-putting-coal-country-back-work               | 0.11143  | 0.20309  | 0.17804  | 0.151403 | 0.545654 |
| https://www.whitehouse.gov/the-press-office/2017/02/16/president-donald-j-trump-nominates-r-alexander-acosta-be-secretary-labor  | 0.093516 | 0.156487 | 0.118758 | 0.536377 | 0.533004 |
| https://www.whitehouse.gov/the-press-office/2017/02/16/readout-vice-presidents-meeting-prime-minister-benjamin-netanyahu-israel  | 0.188698 | 0.196549 | 0.074033 | 0.06281  | 0.52791  |
| https://www.whitehouse.gov/the-press-office/2017/02/15/joint-readout-meeting-between-president-donald-j-trump-and-israeli-prime  | 0.124743 | 0.196063 | 0.421465 | 0.20168  | 0.494454 |
|    https://www.whitehouse.gov/the-press-office/2017/02/15/icymi-former-law-clerks-herald-supreme-court-nominee-neil-gorsuchs     | 0.13158  | 0.141365 | 0.696369 | 0.061516 | 0.474419 |
|    https://www.whitehouse.gov/the-press-office/2017/02/15/president-donald-j-trump-congratulates-president-elect-frank-walter    | 0.029494 | 0.223055 | 0.087867 | 0.351373 | 0.389431 |
|         https://www.whitehouse.gov/the-press-office/2017/02/14/president-trump-approves-california-disaster-declaration          | 0.200183 | 0.214186 | 0.462454 | 0.067998 | 0.253898 |
|         https://www.whitehouse.gov/the-press-office/2017/02/14/president-trump-approves-california-emergency-declaration         | 0.147165 | 0.145078 | 0.508999 | 0.099245 | 0.188514 |
|           https://www.whitehouse.gov/the-press-office/2017/02/14/president-trump-cutting-red-tape-american-businesses            | 0.146894 | 0.458163 | 0.151991 | 0.155223 | 0.582598 |
| https://www.whitehouse.gov/the-press-office/2017/02/14/first-lady-melania-trump-announces-reopening-white-house-visitors-office  | 0.110693 |  0.1254  | 0.17665  | 0.622774 | 0.151605 |
| https://www.whitehouse.gov/the-press-office/2017/02/13/president-donald-j-trump-names-lt-general-joseph-keith-kellogg-jr-acting  | 0.117986 | 0.43167  | 0.130856 | 0.291374 | 0.474026 |
|   https://www.whitehouse.gov/the-press-office/2017/02/10/readout-presidents-call-his-highness-sheikh-tamim-bin-hamad-al-thani    | 0.087331 | 0.232864 | 0.185629 | 0.042876 | 0.53114  |
|          https://www.whitehouse.gov/the-press-office/2017/02/10/president-trump-approves-oklahoma-disaster-declaration           | 0.340311 | 0.275773 | 0.443449 | 0.000881 | 0.084087 |
|  https://www.whitehouse.gov/the-press-office/2017/02/10/joint-statement-president-donald-j-trump-and-prime-minister-shinzo-abe   | 0.101329 | 0.481147 | 0.454382 | 0.218584 | 0.522632 |
|            https://www.whitehouse.gov/the-press-office/2017/02/09/readout-presidents-call-president-xi-jinping-china             | 0.04585  | 0.210053 | 0.012387 | 0.457655 | 0.356827 |
|   https://www.whitehouse.gov/the-press-office/2017/02/09/readout-presidents-call-president-ghani-islamic-republic-afghanistan    | 0.076034 | 0.308572 | 0.113099 | 0.070425 | 0.527165 |
|                         https://www.whitehouse.gov/the-press-office/2017/02/08/statement-press-secretary                         | 0.046239 | 0.037082 | 0.003286 | 0.843656 | 0.096141 |
|   https://www.whitehouse.gov/the-press-office/2017/02/08/first-lady-melania-trump-announces-appointment-anna-christina-niceta    | 0.068493 | 0.168844 | 0.068626 | 0.630637 | 0.181541 |
|   https://www.whitehouse.gov/the-press-office/2017/02/08/icymi-cnbc-ceo-confidence-near-record-high-why-trumps-war-regulation    | 0.133291 | 0.144158 | 0.434192 | 0.455725 | 0.474158 |
|              https://www.whitehouse.gov/the-press-office/2017/02/08/president-donald-j-trump-announces-his-cabinet               | 0.092917 | 0.173043 | 0.424126 | 0.46624  | 0.300945 |
|        https://www.whitehouse.gov/the-press-office/2017/02/07/readout-presidents-call-prime-minister-mariano-rajoy-spain         | 0.077726 |  0.1299  | 0.158334 | 0.181073 | 0.536752 |
|            https://www.whitehouse.gov/the-press-office/2017/02/07/readout-vice-presidents-meeting-right-try-advocates            | 0.434794 | 0.291203 | 0.063269 | 0.202834 | 0.503029 |
|  https://www.whitehouse.gov/the-press-office/2017/02/07/white-house-director-legislative-affairs-announces-legislative-affairs   | 0.098875 | 0.195414 | 0.088918 | 0.327237 | 0.493933 |
|           https://www.whitehouse.gov/the-press-office/2017/02/07/second-lady-announces-kristan-king-nevins-chief-staff           | 0.121676 | 0.427567 | 0.086737 | 0.540656 | 0.245909 |
|   https://www.whitehouse.gov/the-press-office/2017/02/07/case-you-missed-it-mcclatchy-historical-precedent-presidents-national   | 0.132114 | 0.429088 | 0.168268 | 0.197965 | 0.551787 |
|    https://www.whitehouse.gov/the-press-office/2017/02/05/radio-interview-president-trump-jim-gray-westwood-one-sports-radio     | 0.093314 | 0.084583 | 0.078249 | 0.649988 | 0.515667 |
|                       https://www.whitehouse.gov/the-press-office/2017/02/56/top-highlights-sundays-shows                        | 0.145427 | 0.527221 | 0.416722 | 0.192999 | 0.497294 |
|        https://www.whitehouse.gov/the-press-office/2017/02/04/readout-presidents-call-president-petro-poroshenko-ukraine         | 0.202456 | 0.207392 | 0.182755 |  0.2968  | 0.159513 |
|       https://www.whitehouse.gov/the-press-office/2017/02/04/readout-presidents-call-prime-minister-paolo-gentiloni-italy        | 0.080779 | 0.245497 | 0.187731 | 0.198105 | 0.560998 |
|                    https://www.whitehouse.gov/the-press-office/2017/02/04/president-trumps-second-week-action                    | 0.071979 |  0.4625  | 0.507358 | 0.246629 | 0.240767 |
|                        https://www.whitehouse.gov/the-press-office/2017/02/04/getting-americans-back-work                        | 0.161093 | 0.251205 | 0.159251 | 0.210511 | 0.473946 |
|                         https://www.whitehouse.gov/the-press-office/2017/02/03/statement-press-secretary                         | 0.25605  | 0.279418 | 0.459578 | 0.002882 | 0.183826 |
|         https://www.whitehouse.gov/the-press-office/2017/02/03/statement-national-security-advisor-michael-t-flynn-iran          | 0.134602 | 0.163178 | 0.55335  | 0.07219  | 0.506546 |
|    https://www.whitehouse.gov/the-press-office/2017/02/03/president-donald-j-trump-recognizes-national-catholic-schools-week     | 0.023904 | 0.144299 | 0.014944 | 0.705354 | 0.144501 |
|    https://www.whitehouse.gov/the-press-office/2017/02/02/readout-vice-presidents-meeting-german-vice-chancellor-and-minister    | 0.104512 | 0.285124 | 0.584064 | 0.182906 | 0.228701 |
|   https://www.whitehouse.gov/the-press-office/2017/02/02/president-donald-j-trump-proclaims-february-national-african-american   | 0.077709 | 0.205406 | 0.086681 | 0.504055 | 0.487989 |
|    https://www.whitehouse.gov/the-press-office/2017/02/02/white-house-national-security-advisor-announces-nsc-senior-staff-0     | 0.137147 | 0.23779  | 0.184842 | 0.208132 | 0.325255 |
|              https://www.whitehouse.gov/the-press-office/2017/02/01/first-lady-melania-trump-announces-chief-staff               | 0.125174 | 0.211155 | 0.097121 | 0.505253 | 0.189572 |
|  https://www.whitehouse.gov/the-press-office/2017/02/01/vice-president-mike-pence-announces-jarrod-agen-director-communications  | 0.174801 | 0.280375 | 0.228016 | 0.086275 | 0.596276 |
|        https://www.whitehouse.gov/the-press-office/2017/02/01/president-trump-approves-south-dakota-disaster-declaration         | 0.254753 | 0.183864 | 0.434567 | 0.137276 | 0.224961 |
|                    https://www.whitehouse.gov/the-press-office/2017/02/01/statement-national-security-advisor                    | 0.26854  | 0.220638 | 0.50378  | 0.002961 | 0.199749 |
|           https://www.whitehouse.gov/the-press-office/2017/02/01/editorial-boards-across-country-praise-judge-gorsuch            | 0.197202 | 0.213641 | 0.216178 |  0.1228  | 0.345957 |
+----------------------------------------------------------------------------------------------------------------------------------+----------+----------+----------+----------+----------+
