+----------------------------------------------------------------------------------------------------------------------------------+-------------+----------+
|                                                               URL                                                                |    Score    |   Type   |
+----------------------------------------------------------------------------------------------------------------------------------+-------------+----------+
|               https://www.whitehouse.gov/the-press-office/2017/02/28/president-trump-delivers-jobs-american-people               |   0.223744  | positive |
|  https://www.whitehouse.gov/the-press-office/2017/02/28/president-trumps-first-40-days-action-achieving-results-american-people  |  0.0609216  | positive |
|     https://www.whitehouse.gov/the-press-office/2017/02/28/excerpts-president-donald-j-trumps-address-joint-session-congress     |  -0.036181  | negative |
|         https://www.whitehouse.gov/the-press-office/2017/02/28/president-donald-j-trump-signs-hr-255-hr-321-and-hjres-40         |  0.0751676  | positive |
|  https://www.whitehouse.gov/the-press-office/2017/02/28/president-donald-j-trump-and-first-lady-melania-trump-announce-special   |  -0.161662  | negative |
|    https://www.whitehouse.gov/the-press-office/2017/02/27/readout-white-house-historically-black-colleges-universities-hbcus     |   0.660249  | positive |
|      https://www.whitehouse.gov/the-press-office/2017/02/27/icymi-president-trump-seeks-outdo-obama-backing-black-colleges       |   0.496035  | positive |
|    https://www.whitehouse.gov/the-press-office/2017/02/27/background-briefing-president-donald-j-trumps-address-joint-session    |   0.510895  | positive |
|   https://www.whitehouse.gov/the-press-office/2017/02/27/white-house-national-economic-council-director-announces-senior-staff   |   0.63043   | positive |
|  https://www.whitehouse.gov/the-press-office/2017/02/26/president-donald-j-trump-and-first-lady-melania-trump-welcome-governors  |   0.888385  | positive |
|                       https://www.whitehouse.gov/the-press-office/2017/02/26/top-highlights-sundays-shows                        |   -0.28127  | negative |
|                https://www.whitehouse.gov/the-press-office/2017/02/24/president-trump-cuts-through-more-red-tape                 |  -0.170648  | negative |
|       https://www.whitehouse.gov/the-press-office/2017/02/24/icymi-president-trumps-focus-brings-renewed-optimism-americas       |   0.680144  | positive |
| https://www.whitehouse.gov/the-press-office/2017/02/21/readout-vice-presidents-meeting-australian-foreign-minister-julie-bishop  |   0.674034  | positive |
|        https://www.whitehouse.gov/the-press-office/2017/02/21/statement-president-donald-j-trump-death-russias-permanent         |  -0.046411  | negative |
| https://www.whitehouse.gov/the-press-office/2017/02/20/president-donald-j-trump-names-lt-general-hr-mcmaster-assistant-president |   0.503227  | positive |
|  https://www.whitehouse.gov/the-press-office/2017/02/20/president-donald-j-trumps-first-month-achieving-results-american-people  |  -0.204558  | negative |
|   https://www.whitehouse.gov/the-press-office/2017/02/19/readout-vice-presidents-meeting-belgian-prime-minister-charles-michel   |  0.00172275 | positive |
|   https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-ukrainian-president-petro-poroshenko    |   0.669534  | positive |
|      https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-prime-minister-yildirim-turkey       |  -0.529794  | negative |
|         https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-prime-minister-abadi-iraq         |  -0.716517  | negative |
|     https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-president-ghani-islamic-republic      |  -0.445113  | negative |
|      https://www.whitehouse.gov/the-press-office/2017/02/18/readout-vice-presidents-meeting-german-chancellor-angela-merkel      |  -0.455089  | negative |
|           https://www.whitehouse.gov/the-press-office/2017/02/17/president-trump-approves-nevada-disaster-declaration            |  -0.682041  | negative |
|  https://www.whitehouse.gov/the-press-office/2017/02/16/readout-vice-presidents-african-american-economic-opportunity-listening  |   0.70816   | positive |
|               https://www.whitehouse.gov/the-press-office/2017/02/16/icymi-democrats-supreme-court-double-standard               |   0.152634  | positive |
|              https://www.whitehouse.gov/the-press-office/2017/02/16/president-trump-putting-coal-country-back-work               |  -0.233612  | negative |
