OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
1023513,e9e03977,12/01/2015 12:00:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,H,122,STATEN ISLAND,N.Y. POLICE DEPT,963230,155663,"(40.5939184530001, -74.0756886519999)"
1023514,127584fd,12/01/2015 12:00:00 AM,Tuesday,Dec,1,2015,0,12,31,2015,GRAND LARCENY,FELONY,A,101,QUEENS,N.Y. POLICE DEPT,1056616,157681,"(40.5991869440001, -73.739410553)"
1023515,8a7b0245,12/01/2015 12:00:00 AM,Tuesday,Dec,1,2015,0,12,11,2015,GRAND LARCENY,FELONY,A,67,BROOKLYN,N.Y. POLICE DEPT,997049,176315,"(40.6506195700001, -73.9538766169999)"
1023516,b1adaa5e,12/01/2015 12:00:00 AM,Tuesday,Dec,1,2015,0,12,4,2015,GRAND LARCENY,FELONY,H,115,QUEENS,N.Y. POLICE DEPT,1020414,213600,"(40.7528934640001, -73.869474086)"
1023517,8cfddfd5,12/01/2015 12:01:00 AM,Tuesday,Dec,1,2015,0,12,3,2015,GRAND LARCENY,FELONY,A,113,QUEENS,N.Y. POLICE DEPT,1039980,182653,"(40.66784984, -73.7991105359999)"
1023518,eea9fa7b,12/01/2015 12:01:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,H,94,BROOKLYN,N.Y. POLICE DEPT,997286,201416,"(40.719515733, -73.95297396)"
1023519,909ae60d,12/01/2015 12:01:00 AM,Tuesday,Dec,1,2015,0,12,23,2015,GRAND LARCENY,FELONY,I,114,QUEENS,N.Y. POLICE DEPT,1003005,214277,"(40.7548057180001, -73.9323067719999)"
1023520,13e83574,12/01/2015 12:01:00 AM,Tuesday,Dec,1,2015,0,12,24,2015,GRAND LARCENY,FELONY,A,23,MANHATTAN,N.Y. HOUSING POLICE,1000866,226632,"(40.7887212430001, -73.939996774)"
1023521,f658b192,12/01/2015 12:10:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,FELONY ASSAULT,FELONY,A,46,BRONX,N.Y. POLICE DEPT,1009888,247975,"(40.847280191, -73.907334484)"
1023522,cb389822,12/01/2015 12:12:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,FELONY ASSAULT,FELONY,A,46,BRONX,N.Y. POLICE DEPT,1009888,247975,"(40.847280191, -73.907334484)"
1023523,a9eafd75,12/01/2015 12:20:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,ROBBERY,FELONY,B,32,MANHATTAN,N.Y. HOUSING POLICE,1000448,238379,"(40.8209643010001, -73.941477939)"
1023524,28efe571,12/01/2015 12:30:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,GRAND LARCENY,FELONY,F,106,QUEENS,N.Y. POLICE DEPT,1028843,188006,"(40.6826056960001, -73.839220757)"
1023525,33021af3,12/01/2015 12:30:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,ROBBERY,FELONY,D,48,BRONX,N.Y. POLICE DEPT,1014762,247914,"(40.847097267, -73.889718006)"
1023727,b2913171,12/01/2015 12:50:00 AM,Tuesday,Dec,1,2015,0,12,1,2015,FELONY ASSAULT,FELONY,G,45,BRONX,N.Y. POLICE DEPT,1032257,251409,"(40.8566122030001, -73.826458684)"
1023728,1eb06917,12/01/2015 01:00:00 AM,Tuesday,Dec,1,2015,1,12,1,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,72,BROOKLYN,N.Y. POLICE DEPT,979686,173993,"(40.6442542520001, -74.0164475409999)"
