car_model,eng_display,cyl,transmission,mileage,yousavespend
Acura NSX,3.5,6,Auto(AM-S9),29.5,3000
ALFA ROMEO 4C,1.8,4,Auto(AM6),34.7,500
Aston Martin Lagonda Ltd V12 Vantage S,6,12,Auto(AM7),18.3,8000
Aston Martin Lagonda Ltd V12 Vantage S,6,12,Manual(M7),15.5,10500
Audi R8,5.2,10,Auto(AM-S7),21.2,5250
Audi R8 Spyder,5.2,10,Auto(AM-S7),21.2,5250
Audi TT Roadster quattro,2,4,Auto(AM-S6),33.5,0
Chevrolet CORVETTE,6.2,8,Auto(S8),20.6,6000
Chevrolet CORVETTE,6.2,8,Auto(S8),24.2,4000
Chevrolet CORVETTE,6.2,8,Manual(M7),22.8,4750
Chevrolet CORVETTE,6.2,8,Manual(M7),24.9,4000
Dodge Viper,8.4,10,Manual(M6),17.8,8000
Ferrari North America  Inc. 488 gtb,3.9,8,Auto(AM7),22.9,4750
Ferrari North America  Inc. 488 gtb,3.9,8,Auto(AM7),23.1,4750
Ferrari North America  Inc. 488 Spider,3.9,8,Auto(AM7),22.9,4750
Ferrari North America  Inc. 488 Spider,3.9,8,Auto(AM7),23.1,4750
Ferrari North America  Inc. F12 Berlinetta,6.3,12,Auto(AM7),16.7,9250
Ferrari North America  Inc. F12 Berlinetta,6.3,12,Auto(AM7),17,9250
Ferrari North America  Inc. F12 tdf,6.3,12,Auto(AM7),16.1,9250
Ferrari North America  Inc. F12 tdf,6.3,12,Auto(AM7),15.8,10500
Ferrari North America  Inc. LaFerrari Aperta,6.3,12,Auto(AM7),16.5,9250
FIAT 124 Spider,1.4,4,Auto(A6),39.9,250
FIAT 124 Spider,1.4,4,Manual(M6),40.5,0
Ford Ford GT,3.5,6,Auto(AM7),17.4,8000
Jaguar F-TYPE Convertible,3,6,Auto(S8),30.1,2250
Jaguar F-TYPE Convertible Manual,3,6,Manual(M6),24.3,4000
Jaguar F-TYPE Coupe,3,6,Auto(S8),30.1,2250
Jaguar F-TYPE Coupe Manual,3,6,Manual(M6),24.3,4000
Jaguar F-TYPE R AWD Convertible,5,8,Auto(S8),22.7,4750
Jaguar F-TYPE R AWD Coupe,5,8,Auto(S8),22.7,4750
Jaguar F-TYPE S AWD Convertible,3,6,Auto(S8),27.4,3000
Jaguar F-TYPE S AWD Coupe,3,6,Auto(S8),27.4,3000
Jaguar F-TYPE S Convertible,3,6,Auto(S8),28.8,2500
Jaguar F-TYPE S Convertible Manual,3,6,Manual(M6),23.7,4750
Jaguar F-TYPE S Coupe,3,6,Auto(S8),28.8,2500
Jaguar F-TYPE S Coupe Manual,3,6,Manual(M6),23.7,4750
Lamborghini Aventador Coupe,6.5,12,Auto(AM-S7),16.4,9250
Lamborghini Aventador Coupe LP740-4,6.5,12,Auto(AM-S7),15,10500
Lamborghini Aventador Roadster,6.5,12,Auto(AM-S7),15.8,9250
Lamborghini Aventador Roadster LP740-4,6.5,12,Auto(AM-S7),15,10500
Lamborghini Huracan,5.2,10,Auto(AM-S7),20.8,5250
Lamborghini Huracan 2WD,5.2,10,Auto(AM-S7),20.8,5250
Lamborghini Huracan Spyder,5.2,10,Auto(AM-S7),20.4,6000
Lamborghini Huracan Spyder 2WD,5.2,10,Auto(AM-S7),20.4,6000
MAZDA MX-5,2,4,Auto(S6),40.1,250
MAZDA MX-5,2,4,Manual(M6),40.4,250
McLaren 570GT,3.8,8,Auto(A7),24,4000
McLaren 570S Coupe,3.8,8,Auto(A7),24,4000
Mercedes-Benz AMG GT,4,8,Auto(AM7),23.9,4750
Mercedes-Benz AMG GT S,4,8,Auto(AM7),23.9,4750
Mercedes-Benz AMG SL 63,5.5,8,Auto(A7),24.1,4000
