mileage,name,name2,engine_disp,cylinders,gears,year
29.5,Acura,NSX,3.5,6,9,2017
34.7,ALFA ROMEO,4C,1.8,4,6,2017
18.3,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,7,2017
15.5,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,7,2017
21.2,Audi,R8,5.2,10,7,2017
21.2,Audi,R8 Spyder,5.2,10,7,2017
33.5,Audi,TT Roadster quattro,2,4,6,2017
20.6,Chevrolet,CORVETTE,6.2,8,8,2017
24.2,Chevrolet,CORVETTE,6.2,8,8,2017
22.8,Chevrolet,CORVETTE,6.2,8,7,2017
24.9,Chevrolet,CORVETTE,6.2,8,7,2017
17.8,Dodge,Viper,8.4,10,6,2017
22.9,"Ferrari North America, Inc.",488 gtb,3.9,8,7,2017
23.1,"Ferrari North America, Inc.",488 gtb,3.9,8,7,2017
22.9,"Ferrari North America, Inc.",488 Spider,3.9,8,7,2017
23.1,"Ferrari North America, Inc.",488 Spider,3.9,8,7,2017
16.7,"Ferrari North America, Inc.",F12 Berlinetta,6.3,12,7,2017
17,"Ferrari North America, Inc.",F12 Berlinetta,6.3,12,7,2017
16.1,"Ferrari North America, Inc.",F12 tdf,6.3,12,7,2017
15.8,"Ferrari North America, Inc.",F12 tdf,6.3,12,7,2017
16.5,"Ferrari North America, Inc.",LaFerrari Aperta,6.3,12,7,2017
39.9,FIAT,124 Spider,1.4,4,6,2017
40.5,FIAT,124 Spider,1.4,4,6,2017
17.4,Ford,Ford GT,3.5,6,7,2017
30.1,Jaguar,F-TYPE Convertible,3,6,8,2017
24.3,Jaguar,F-TYPE Convertible Manual,3,6,6,2017
30.1,Jaguar,F-TYPE Coupe,3,6,8,2017
24.3,Jaguar,F-TYPE Coupe Manual,3,6,6,2017
22.7,Jaguar,F-TYPE R AWD Convertible,5,8,8,2017
22.7,Jaguar,F-TYPE R AWD Coupe,5,8,8,2017
27.4,Jaguar,F-TYPE S AWD Convertible,3,6,8,2017
27.4,Jaguar,F-TYPE S AWD Coupe,3,6,8,2017
28.8,Jaguar,F-TYPE S Convertible,3,6,8,2017
23.7,Jaguar,F-TYPE S Convertible Manual,3,6,6,2017
28.8,Jaguar,F-TYPE S Coupe,3,6,8,2017
23.7,Jaguar,F-TYPE S Coupe Manual,3,6,6,2017
16.4,Lamborghini,Aventador Coupe,6.5,12,7,2017
15,Lamborghini,Aventador Coupe LP740-4,6.5,12,7,2017
15.8,Lamborghini,Aventador Roadster,6.5,12,7,2017
15,Lamborghini,Aventador Roadster LP740-4,6.5,12,7,2017
20.8,Lamborghini,Huracan,5.2,10,7,2017
20.8,Lamborghini,Huracan 2WD,5.2,10,7,2017
20.4,Lamborghini,Huracan Spyder,5.2,10,7,2017
20.4,Lamborghini,Huracan Spyder 2WD,5.2,10,7,2017
40.1,MAZDA,MX-5,2,4,6,2017
40.4,MAZDA,MX-5,2,4,6,2017
24,McLaren,570GT,3.8,8,7,2017
24,McLaren,570S Coupe,3.8,8,7,2017
23.9,Mercedes-Benz,AMG GT,4,8,7,2017
23.9,Mercedes-Benz,AMG GT S,4,8,7,2017
24.1,Mercedes-Benz,AMG SL 63,5.5,8,7,2017
21,Mercedes-Benz,AMG SL 65,6,12,7,2017
31.1,Mercedes-Benz,AMG SLC 43,3,6,9,2017
30.7,Mercedes-Benz,SL 450,3,6,9,2017
26.2,Mercedes-Benz,SL 550,4.7,8,9,2017
37.2,Mercedes-Benz,SLC 300,2,4,9,2017
49.5,Mercedes-Benz,Smart fortwo (Convertible),0.9,3,6,2017
48,Mercedes-Benz,Smart fortwo (Convertible),0.9,3,5,2017
50.5,Mercedes-Benz,Smart fortwo (COUPE),0.9,3,6,2017
48.2,Mercedes-Benz,Smart fortwo (COUPE),0.9,3,5,2017
28.6,NISSAN,370Z,3.7,6,7,2017
27.4,NISSAN,370Z,3.7,6,6,2017
27,NISSAN,370Z Roadster,3.7,6,7,2017
26.1,NISSAN,370Z Roadster,3.7,6,6,2017
33.6,Porsche,Boxster,2,4,7,2017
32,Porsche,Boxster,2,4,6,2017
31.8,Porsche,Boxster S,2.5,4,7,2017
29.1,Porsche,Boxster S,2.5,4,6,2017
20.6,Aston Martin Lagonda Ltd,"Vanquish, S and Zagato",6,12,8,2017
24,"Ferrari North America, Inc.",California T,3.9,8,7,2017
23.5,"Ferrari North America, Inc.",California T,3.9,8,7,2017
17,"Ferrari North America, Inc.",GTC4Lusso,6.3,12,7,2017
16.6,"Ferrari North America, Inc.",GTC4Lusso,6.3,12,7,2017
46.9,FIAT,500,1.4,4,6,2017
36.7,FIAT,500,1.4,4,6,2017
46.7,FIAT,500,1.4,4,5,2017
40.8,FIAT,500,1.4,4,5,2017
36.7,FIAT,500 Abarth,1.4,4,6,2017
40.8,FIAT,500 Abarth,1.4,4,5,2017
25.2,Lotus Cars Ltd,Evora,3.5,6,6,2017
24.1,Lotus Cars Ltd,Evora,3.5,6,6,2017
37,Mini,JOHN COOPER WORKS CONVERTIBLE,2,4,6,2017
34,Mini,JOHN COOPER WORKS CONVERTIBLE,2,4,6,2017
41.2,Mini,MINI COOPER CONVERTIBLE,1.5,3,6,2017
43.4,Mini,MINI COOPER CONVERTIBLE,1.5,3,6,2017
38.3,Mini,Mini Cooper S Convertible,2,4,6,2017
35.4,Mini,Mini Cooper S Convertible,2,4,6,2017
33.4,Porsche,911 Carrera,3,6,7,2017
30.8,Porsche,911 Carrera,3,6,7,2017
32.7,Porsche,911 Carrera 4,3,6,7,2017
30.1,Porsche,911 Carrera 4,3,6,7,2017
32,Porsche,911 Carrera 4 Cabriolet,3,6,7,2017
29.6,Porsche,911 Carrera 4 Cabriolet,3,6,7,2017
29.3,Porsche,911 Carrera 4 GTS,3,6,7,2017
28.1,Porsche,911 Carrera 4 GTS,3,6,7,2017
29.1,Porsche,911 Carrera 4 GTS Cabriolet,3,6,7,2017
27.7,Porsche,911 Carrera 4 GTS Cabriolet,3,6,7,2017
31.6,Porsche,911 Carrera 4S,3,6,7,2017
29.9,Porsche,911 Carrera 4S,3,6,7,2017
31.8,Porsche,911 Carrera 4S Cabriolet,3,6,7,2017
29.5,Porsche,911 Carrera 4S Cabriolet,3,6,7,2017
32.4,Porsche,911 Carrera Cabriolet,3,6,7,2017
30.2,Porsche,911 Carrera Cabriolet,3,6,7,2017
30,Porsche,911 Carrera GTS,3,6,7,2017
27.7,Porsche,911 Carrera GTS,3,6,7,2017
29.3,Porsche,911 Carrera GTS Cabriolet,3,6,7,2017
28,Porsche,911 Carrera GTS Cabriolet,3,6,7,2017
32.6,Porsche,911 Carrera S,3,6,7,2017
30.1,Porsche,911 Carrera S,3,6,7,2017
32.3,Porsche,911 Carrera S Cabriolet,3,6,7,2017
30,Porsche,911 Carrera S Cabriolet,3,6,7,2017
32.2,Porsche,911 Targa 4,3,6,7,2017
29.6,Porsche,911 Targa 4,3,6,7,2017
28.9,Porsche,911 Targa 4 GTS,3,6,7,2017
27.1,Porsche,911 Targa 4 GTS,3,6,7,2017
31.4,Porsche,911 Targa 4S,3,6,7,2017
29.5,Porsche,911 Targa 4S,3,6,7,2017
27.2,Porsche,911 Turbo,3.8,6,7,2017
27.2,Porsche,911 Turbo Cabriolet,3.8,6,7,2017
27.2,Porsche,911 Turbo S,3.8,6,7,2017
27.2,Porsche,911 Turbo S Cabriolet,3.8,6,7,2017
36.9,Subaru,BRZ,2,4,6,2017
31.9,Subaru,BRZ,2,4,6,2017
36.9,TOYOTA,86,2,4,6,2017
32,TOYOTA,86,2,4,6,2017
21.5,Aston Martin Lagonda Ltd,Rapide S,6,12,8,2017
38.7,Audi,A3,2,4,7,2017
38,Audi,A3 Cabriolet,2,4,7,2017
32,Audi,A3 Cabriolet quattro,2,4,6,2017
36.4,Audi,A3 quattro,2,4,6,2017
31.4,Audi,A5 Cabriolet quattro,2,4,8,2017
32.7,Audi,A5 quattro,2,4,8,2017
33.7,Audi,A5 quattro,2,4,6,2017
30.1,Audi,S3,2,4,6,2017
26.9,Audi,S5,3,6,7,2017
24.4,Audi,S5,3,6,6,2017
26.4,Audi,S5 Cabriolet,3,6,7,2017
33.5,Audi,TT Coupe quattro,2,4,6,2017
31.9,Audi,TTS Coupe,2,4,6,2017
21.8,Bentley,Continental GT Convertible,4,8,8,2017
18.3,Bentley,Continental GT Convertible,6,12,8,2017
36.8,BMW,230i Convertible,2,4,8,2017
37.6,BMW,230i Coupe,2,4,8,2017
32.9,BMW,230i Coupe,2,4,6,2017
35.6,BMW,230i xDrive Convertible,2,4,8,2017
36.6,BMW,230i xDrive Coupe,2,4,8,2017
36.8,BMW,430i Convertible,2,4,8,2017
34.6,BMW,430i xDrive Convertible,2,4,8,2017
31.7,BMW,440i Convertible,3,6,8,2017
31.5,BMW,440i xDrive Convertible,3,6,8,2017
31,BMW,640i Convertible,3,6,8,2017
31.9,BMW,640i Coupe,3,6,8,2017
29.6,BMW,640i xDrive Convertible,3,6,8,2017
29.6,BMW,640i xDrive Coupe,3,6,8,2017
