make,model,VClass
Alfa Romeo,Spider Veloce 2000,Two Seaters
Ferrari,Testarossa,Two Seaters
Dodge,Charger,Subcompact Cars
Dodge,B150/B250 Wagon 2WD,Vans
Subaru,Legacy AWD Turbo,Compact Cars
Subaru,Loyale,Compact Cars
Toyota,Corolla,Compact Cars
Volkswagen,Golf III / GTI,Compact Cars
Volkswagen,Jetta III,Compact Cars
Volvo,240,Compact Cars
Audi,100,Midsize Cars
BMW,740i,Midsize Cars
BMW,740il,Midsize Cars
BMW,750il,Midsize Cars
Buick,Century,Midsize Cars
Buick,Regal,Midsize Cars
Buick,Riviera,Midsize Cars
Cadillac,Eldorado,Midsize Cars
Cadillac,Seville,Midsize Cars
Chevrolet,Lumina,Midsize Cars
Chrysler,New Yorker,Midsize Cars
CX Automotive,XM v6,Midsize Cars
CX Automotive,XM v6a,Midsize Cars
Nissan,Maxima,Midsize Cars
Dodge,Dynasty,Midsize Cars
Dodge,Spirit,Midsize Cars
Ford,Taurus,Midsize Cars
Ford,Taurus SHO,Midsize Cars
Dodge,B350 Wagon 2WD,Vans
Ford,Thunderbird,Midsize Cars
Hyundai,Sonata,Midsize Cars
Infiniti,Q45,Midsize Cars
Infiniti,Q45 Full-Active Suspension,Midsize Cars
Lexus,LS 400,Midsize Cars
