make,model,VClass
Alfa Romeo,Spider Veloce 2000,Two Seaters
Ferrari,Testarossa,Two Seaters
Dodge,Charger,Subcompact Cars
Dodge,B150/B250 Wagon 2WD,Vans
Subaru,Legacy AWD Turbo,Compact Cars
Subaru,Loyale,Compact Cars
Toyota,Corolla,Compact Cars
Volkswagen,Golf III / GTI,Compact Cars
Volkswagen,Jetta III,Compact Cars
Volvo,240,Compact Cars
Audi,100,Midsize Cars
BMW,740i,Midsize Cars
BMW,740il,Midsize Cars
BMW,750il,Midsize Cars
Buick,Century,Midsize Cars
Buick,Regal,Midsize Cars
Buick,Riviera,Midsize Cars
Cadillac,Eldorado,Midsize Cars
Cadillac,Seville,Midsize Cars
Chevrolet,Lumina,Midsize Cars
Chrysler,New Yorker,Midsize Cars
CX Automotive,XM v6,Midsize Cars
CX Automotive,XM v6a,Midsize Cars
Nissan,Maxima,Midsize Cars
Dodge,Dynasty,Midsize Cars
Dodge,Spirit,Midsize Cars
Ford,Taurus,Midsize Cars
Ford,Taurus SHO,Midsize Cars
Dodge,B350 Wagon 2WD,Vans
Ford,Thunderbird,Midsize Cars
Hyundai,Sonata,Midsize Cars
Infiniti,Q45,Midsize Cars
Infiniti,Q45 Full-Active Suspension,Midsize Cars
Lexus,LS 400,Midsize Cars
Buick,Century,Midsize Cars
Buick,Regal,Midsize Cars
Buick,Riviera,Midsize Cars
Cadillac,Eldorado,Midsize Cars
Cadillac,Seville,Midsize Cars
Chevrolet,Lumina,Midsize Cars
Chrysler,New Yorker,Midsize Cars
CX Automotive,XM v6,Midsize Cars
CX Automotive,XM v6a,Midsize Cars
Nissan,Maxima,Midsize Cars
Dodge,Dynasty,Midsize Cars
Dodge,Spirit,Midsize Cars
Ford,Taurus,Midsize Cars
Ford,Taurus SHO,Midsize Cars
Dodge,B350 Wagon 2WD,Vans
Ford,Thunderbird,Midsize Cars
Hyundai,Sonata,Midsize Cars
Infiniti,Q45,Midsize Cars
Infiniti,Q45 Full-Active Suspension,Midsize Cars
Lexus,LS 400,Midsize Cars
Mercury,Cougar,Midsize Cars
Mercury,Sable,Midsize Cars
Mazda,626,Midsize Cars
Mazda,929,Midsize Cars
Oldsmobile,Cutlass Ciera,Midsize Cars
Oldsmobile,Cutlass Supreme,Midsize Cars
Oldsmobile,Toronado,Midsize Cars
Plymouth,Acclaim,Midsize Cars
Ford,E150 Club Wagon,Vans
Pontiac,Grand Prix,Midsize Cars
Rolls-Royce,Brooklands/Brklnds L,Midsize Cars
Rolls-Royce,Turbo R/Turbo R(lwb),Midsize Cars
Rolls-Royce,Silver Spirit II/Silver Spur,Midsize Cars
Toyota,Camry,Midsize Cars
Volkswagen,Passat,Midsize Cars
Volvo,850,Midsize Cars
Volvo,940,Midsize Cars
Volvo,960,Midsize Cars
Buick,LeSabre,Large Cars
Buick,Park Avenue,Large Cars
Buick,Roadmaster,Large Cars
Cadillac,DeVille/60 Special,Large Cars
Cadillac,Fleetwood,Large Cars
Chevrolet,Caprice,Large Cars
Chrysler,Concorde,Large Cars
Chrysler,Fifth Avenue/Imperial,Large Cars
Dodge,Intrepid,Large Cars
Eagle,Vision,Large Cars
Ford,LTD Crown Victoria,Large Cars
Lincoln,Continental,Large Cars
Mercury,Grand Marquis,Large Cars
Lincoln,Town Car,Large Cars
Mercedes-Benz,300SD,Large Cars
Mercedes-Benz,300SE,Large Cars
Mercedes-Benz,400SEL,Large Cars
Mercedes-Benz,500SEL,Large Cars
Oldsmobile,Eighty-Eight,Large Cars
Oldsmobile,Ninety-Eight,Large Cars
GMC,G15/25 Rally 2WD,Vans
Pontiac,Bonneville,Large Cars
Rolls-Royce,Silver Spur II Mpw Touring L,Large Cars
Saab,9000,Large Cars
BMW,525i Touring,Small Station Wagons
Audi,100 quattro Wagon,Small Station Wagons
Chevrolet,Cavalier Wagon,Small Station Wagons
CX Automotive,XM v6 Break,Small Station Wagons
Ford,Escort Wagon,Small Station Wagons
Honda,Accord Wagon,Small Station Wagons
Mercury,Tracer Wagon,Small Station Wagons
Saturn,SW,Small Station Wagons
Subaru,Legacy Wagon,Small Station Wagons
Subaru,Legacy Wagon AWD,Small Station Wagons
Subaru,Legacy Wagon AWD Turbo,Small Station Wagons
Subaru,Loyale Wagon,Small Station Wagons
Toyota,Corolla Wagon,Small Station Wagons
Buick,Century Wagon,Midsize-Large Station Wagons
Eagle,Summit Wagon,Midsize-Large Station Wagons
Ford,Taurus Wagon,Midsize-Large Station Wagons
Mercury,Sable Wagon,Midsize-Large Station Wagons
Mitsubishi,Expo,Midsize-Large Station Wagons
Mitsubishi,Expo.LRV,Midsize-Large Station Wagons
Oldsmobile,Cutlass Cruiser,Midsize-Large Station Wagons
Mitsubishi,Diamante Wagon,Midsize-Large Station Wagons
Plymouth,Colt Vista,Midsize-Large Station Wagons
Toyota,Camry Wagon,Midsize-Large Station Wagons
Volkswagen,Passat Wagon,Midsize-Large Station Wagons
Volvo,240 Wagon,Midsize-Large Station Wagons
Volvo,940 Wagon,Midsize-Large Station Wagons
GMC,G35 Rally 2WD,Vans
Volvo,960 Wagon,Midsize-Large Station Wagons
Buick,Roadmaster Wagon,Midsize-Large Station Wagons
Chevrolet,Caprice Wagon,Midsize-Large Station Wagons
Chevrolet,S10 Pickup 2WD,Small Pickup Trucks
GMC,Safari 2WD (passenger),Vans
Nissan,Truck 2WD,Small Pickup Trucks
Dodge,Ram 50 Pickup 2WD,Small Pickup Trucks
GMC,Sonoma 2WD,Small Pickup Trucks
Isuzu,Pickup 2WD,Small Pickup Trucks
Mitsubishi,Truck 2WD,Small Pickup Trucks
Chevrolet,C1500 Pickup 2WD,Standard Pickup Trucks
Chevrolet,Pickup 2500 2WD,Standard Pickup Trucks
Dodge,Dakota Pickup 2WD,Standard Pickup Trucks
Dodge,D100/D150 Pickup 2WD,Standard Pickup Trucks
Dodge,D250 Pickup 2WD,Standard Pickup Trucks
Jeep,Comanche Pickup 4WD,Standard Pickup Trucks
Ford,F150 Pickup 2WD,Standard Pickup Trucks
Toyota,Van 2WD,Vans
Ford,F250 Pickup 2WD,Standard Pickup Trucks
Ford,Ranger Pickup 2WD,Standard Pickup Trucks
GMC,Sierra 1500 2WD,Standard Pickup Trucks
Dodge,Colt,Subcompact Cars
Volkswagen,Vanagon 2WD,Vans
GMC,Sierra 2500 2WD,Standard Pickup Trucks
Mazda,B2200/B2600i,Standard Pickup Trucks
Toyota,T100 2WD,Standard Pickup Trucks
AM General,Post Office DJ5 2WD,Special Purpose Vehicle 2WD
Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks
AM General,Post Office DJ8 2WD,Special Purpose Vehicle 2WD
Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks
Chevrolet,Suburban C10 2WD,Special Purpose Vehicle 2WD
Chevrolet,S10 Pickup 4WD,Standard Pickup Trucks
Nissan,Truck 4WD,Standard Pickup Trucks
Dodge,Dakota Pickup 4WD,Standard Pickup Trucks
Dodge,Power Ram 50 4WD,Standard Pickup Trucks
Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks
Dodge,W250 Pickup 4WD,Standard Pickup Trucks
Jeep,Comanche Pickup 2WD,Standard Pickup Trucks
Ford,F150 Pickup 4WD,Standard Pickup Trucks
Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD
Ford,Ranger Pickup 4WD,Standard Pickup Trucks
GMC,Sierra 1500 4WD,Standard Pickup Trucks
GMC,Sierra 2500 4WD,Standard Pickup Trucks
GMC,Sonoma 4WD,Standard Pickup Trucks
Isuzu,Pickup 4WD,Standard Pickup Trucks
Mitsubishi,Truck 4WD,Standard Pickup Trucks
Mazda,B2600i 4x4,Standard Pickup Trucks
Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks
Chevrolet,Astro AWD (cargo),Vans
Chevrolet,Astro 2WD (cargo),Vans
Chevrolet,G10/20 Van 2WD,Vans
Chevrolet,G30 Van 2WD,Vans
Dodge,B150/B250 Van 2WD,Vans
Dodge,B350 Van 2WD,Vans
Ford,Aerostar Van,Vans
Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD
Ford,Aerostar Van AWD,Vans
Ford,E150 Econoline 2WD,Vans
Ford,E250 Econoline 2WD,Vans
GMC,Vandura G15/25 2WD,Vans
GMC,Vandura G35 2WD,Vans
GMC,Safari AWD (cargo),Vans
GMC,Safari 2WD (cargo),Vans
Chevrolet,Astro AWD (passenger),Vans
Chevrolet,Astro 2WD (passenger),Vans
Chevrolet,Sport Van G10/20 2WD,Vans
Chevrolet,Sport Van G30 2WD,Vans
Ford,Aerostar Wagon,Vans
Ford,Aerostar Wagon AWD,Vans
Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD
GMC,Rally G15/25 2WD,Vans
GMC,Rally G35 2WD,Vans
GMC,Safari AWD (passenger),Vans
Toyota,Previa,Vans
Toyota,Previa All-Trac,Vans
Volkswagen,Eurovan,Vans
Chevrolet,Lumina/APV Minivan 2WD,Special Purpose Vehicles
Chevrolet,Suburban 1500 2WD,Special Purpose Vehicles
Chevrolet,S10 Blazer 2WD,Special Purpose Vehicles
Nissan,Pathfinder 2WD,Special Purpose Vehicles
Nissan,Quest,Special Purpose Vehicles
Chrysler,Town and Country 2WD,Special Purpose Vehicles
Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicles
Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicles
Dodge,Ramcharger 2WD,Special Purpose Vehicles
Jeep,Cherokee 2WD,Special Purpose Vehicles
Ford,Explorer 2WD,Special Purpose Vehicles
Mercury,Villager FWD Van,Special Purpose Vehicles
Mercury,Villager FWD Wagon,Special Purpose Vehicles
Geo,Tracker Convertible 2WD,Special Purpose Vehicles
GMC,Suburban 1500 2WD,Special Purpose Vehicles
GMC,Jimmy 2WD,Special Purpose Vehicles
Isuzu,Amigo 2WD,Special Purpose Vehicles
Isuzu,Rodeo 2WD,Special Purpose Vehicles
Mazda,MPV,Special Purpose Vehicles
Pontiac,Trans Sport 2WD,Special Purpose Vehicles
Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicles
Suzuki,Samurai 2WD,Special Purpose Vehicles
Suzuki,Sidekick Hardtop 2WD,Special Purpose Vehicles
Suzuki,Sidekick 2WD,Special Purpose Vehicles
Oldsmobile,Silhouette 2WD,Special Purpose Vehicles
Toyota,4Runner 2WD,Special Purpose Vehicles
Chevrolet,Blazer 1500 4WD,Special Purpose Vehicles
Chevrolet,Suburban 1500 4WD,Special Purpose Vehicles
Chevrolet,S10 Blazer 4WD,Special Purpose Vehicles
"E. P. Dutton, Inc.",Funeral Coach,Special Purpose Vehicles
Nissan,Pathfinder 4WD,Special Purpose Vehicles
Chrysler,Town and Country 4WD,Special Purpose Vehicles
Dodge,Caravan/Grand Caravan 4WD,Special Purpose Vehicles
Dodge,Ramcharger 4WD,Special Purpose Vehicles
Jeep,Cherokee 4WD,Special Purpose Vehicles
Jeep,Grand Cherokee 4WD,Special Purpose Vehicles
GMC,C15 Suburban 2WD,Special Purpose Vehicle 2WD
Jeep,Wrangler 4WD,Special Purpose Vehicles
Ford,Bronco 4WD,Special Purpose Vehicles
Ford,Explorer 4WD,Special Purpose Vehicles
Geo,Tracker Convertible 4WD,Special Purpose Vehicles
Geo,Tracker Van 4WD,Special Purpose Vehicles
GMC,Jimmy 4WD,Special Purpose Vehicles
GMC,Suburban 1500 4WD,Special Purpose Vehicles
GMC,Yukon 1500 4WD,Special Purpose Vehicles
Isuzu,Amigo 4WD,Special Purpose Vehicles
Isuzu,Trooper,Special Purpose Vehicles
Land Rover,Defender 110,Special Purpose Vehicles
Land Rover,Range Rover County,Special Purpose Vehicles
Land Rover,Range Rover County LWB,Special Purpose Vehicles
Mitsubishi,Montero,Special Purpose Vehicles
GMC,S15 Jimmy 2WD,Special Purpose Vehicle 2WD
Mazda,MPV 4x4,Special Purpose Vehicles
Mazda,Navajo,Special Purpose Vehicles
Mazda,Navajo 4x4,Special Purpose Vehicles
"PAS, Inc",Pas-Typhoon,Special Purpose Vehicles
Plymouth,Voyager/Grand Voyager 4WD,Special Purpose Vehicles
Subaru,Loyale AWD,Special Purpose Vehicles
Subaru,Loyale Wagon AWD,Special Purpose Vehicles
