Model_year,Mfr_name,Division,Carline,Verify_mfr_cd,Index,Eng_displ
2017,Honda,Acura,NSX,HNX,3,3.5
2017,FCA US LLC,ALFA ROMEO,4C,CRX,36,1.8
2017,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,ASX,2,6
2017,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,ASX,3,6
2017,Volkswagen Group of,Audi,R8,VGA,3,5.2
2017,Volkswagen Group of,Audi,R8 Spyder,VGA,4,5.2
2017,Volkswagen Group of,Audi,TT Roadster quattro,VGA,61,2
2017,General Motors,Chevrolet,CORVETTE,GMX,228,6.2
2017,General Motors,Chevrolet,CORVETTE,GMX,189,6.2
2017,General Motors,Chevrolet,CORVETTE,GMX,223,6.2
2017,General Motors,Chevrolet,CORVETTE,GMX,190,6.2
2017,FCA US LLC,Dodge,Viper,CRX,66,8.4
2017,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,142,3.9
2017,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,143,3.9
2017,Ferrari,"Ferrari North America, Inc.",488 Spider,FEX,144,3.9
2017,Ferrari,"Ferrari North America, Inc.",488 Spider,FEX,145,3.9
2017,Ferrari,"Ferrari North America, Inc.",F12 Berlinetta,FEX,153,6.3
2017,Ferrari,"Ferrari North America, Inc.",F12 Berlinetta,FEX,154,6.3
2017,Ferrari,"Ferrari North America, Inc.",F12 tdf,FEX,156,6.3
2017,Ferrari,"Ferrari North America, Inc.",F12 tdf,FEX,155,6.3
2017,Ferrari,"Ferrari North America, Inc.",LaFerrari Aperta,FEX,999,6.3
2017,FCA US LLC,FIAT,124 Spider,CRX,24,1.4
2017,FCA US LLC,FIAT,124 Spider,CRX,25,1.4
2017,Ford Motor Company,Ford,Ford GT,FMX,343,3.5
2017,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,JLX,161,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,JLX,171,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,JLX,160,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,JLX,170,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,JLX,159,5
2017,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,JLX,158,5
2017,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,JLX,165,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,JLX,164,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,JLX,163,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,JLX,173,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,JLX,162,3
2017,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe Manual,JLX,172,3
2017,Volkswagen Group of,Lamborghini,Aventador Coupe,VGA,17,6.5
2017,Volkswagen Group of,Lamborghini,Aventador Coupe LP740-4,VGA,89,6.5
2017,Volkswagen Group of,Lamborghini,Aventador Roadster,VGA,18,6.5
2017,Volkswagen Group of,Lamborghini,Aventador Roadster LP740-4,VGA,88,6.5
2017,Volkswagen Group of,Lamborghini,Huracan,VGA,7,5.2
2017,Volkswagen Group of,Lamborghini,Huracan 2WD,VGA,8,5.2
2017,Volkswagen Group of,Lamborghini,Huracan Spyder,VGA,9,5.2
2017,Volkswagen Group of,Lamborghini,Huracan Spyder 2WD,VGA,10,5.2
2017,MAZDA,MAZDA,MX-5,TKX,19,2
2017,MAZDA,MAZDA,MX-5,TKX,18,2
2017,McLaren Automotive,McLaren,570GT,MLN,2,3.8
2017,McLaren Automotive,McLaren,570S Coupe,MLN,1,3.8
2017,Mercedes-Benz,Mercedes-Benz,AMG GT,MBX,191,4
2017,Mercedes-Benz,Mercedes-Benz,AMG GT S,MBX,190,4
2017,Mercedes-Benz,Mercedes-Benz,AMG SL 63,MBX,226,5.5
2017,Mercedes-Benz,Mercedes-Benz,AMG SL 65,MBX,228,6
2017,Mercedes-Benz,Mercedes-Benz,AMG SLC 43,MBX,239,3
2017,Mercedes-Benz,Mercedes-Benz,SL 450,MBX,223,3
2017,Mercedes-Benz,Mercedes-Benz,SL 550,MBX,222,4.7
2017,Mercedes-Benz,Mercedes-Benz,SLC 300,MBX,232,2
2017,Mercedes-Benz,Mercedes-Benz,Smart fortwo (Convertible),MBX,55,0.9
2017,Mercedes-Benz,Mercedes-Benz,Smart fortwo (Convertible),MBX,703,0.9
2017,Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),MBX,56,0.9
2017,Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),MBX,702,0.9
2017,Nissan,NISSAN,370Z,NSX,56,3.7
2017,Nissan,NISSAN,370Z,NSX,57,3.7
2017,Nissan,NISSAN,370Z Roadster,NSX,58,3.7
2017,Nissan,NISSAN,370Z Roadster,NSX,59,3.7
2017,Porsche,Porsche,Boxster,PRX,202,2
2017,Porsche,Porsche,Boxster,PRX,201,2
2017,Porsche,Porsche,Boxster S,PRX,222,2.5
2017,Porsche,Porsche,Boxster S,PRX,221,2.5
2017,aston martin,Aston Martin Lagonda Ltd,"Vanquish, S and Zagato",ASX,4,6
2017,Ferrari,"Ferrari North America, Inc.",California T,FEX,250,3.9
2017,Ferrari,"Ferrari North America, Inc.",California T,FEX,249,3.9
2017,Ferrari,"Ferrari North America, Inc.",GTC4Lusso,FEX,152,6.3
2017,Ferrari,"Ferrari North America, Inc.",GTC4Lusso,FEX,151,6.3
2017,FCA US LLC,FIAT,500,CRX,12,1.4
2017,FCA US LLC,FIAT,500,CRX,14,1.4
2017,FCA US LLC,FIAT,500,CRX,13,1.4
2017,FCA US LLC,FIAT,500,CRX,15,1.4
2017,FCA US LLC,FIAT,500 Abarth,CRX,16,1.4
2017,FCA US LLC,FIAT,500 Abarth,CRX,17,1.4
2017,Lotus,Lotus Cars Ltd,Evora,LTX,8,3.5
2017,Lotus,Lotus Cars Ltd,Evora,LTX,7,3.5
2017,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,BMX,82,2
2017,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,BMX,83,2
2017,BMW,Mini,MINI COOPER CONVERTIBLE,BMX,36,1.5
2017,BMW,Mini,MINI COOPER CONVERTIBLE,BMX,37,1.5
2017,BMW,Mini,Mini Cooper S Convertible,BMX,58,2
2017,BMW,Mini,Mini Cooper S Convertible,BMX,59,2
2017,Porsche,Porsche,911 Carrera,PRX,102,3
2017,Porsche,Porsche,911 Carrera,PRX,101,3
2017,Porsche,Porsche,911 Carrera 4,PRX,110,3
2017,Porsche,Porsche,911 Carrera 4,PRX,109,3
2017,Porsche,Porsche,911 Carrera 4 Cabriolet,PRX,112,3
2017,Porsche,Porsche,911 Carrera 4 Cabriolet,PRX,111,3
2017,Porsche,Porsche,911 Carrera 4 GTS,PRX,126,3
2017,Porsche,Porsche,911 Carrera 4 GTS,PRX,125,3
2017,Porsche,Porsche,911 Carrera 4 GTS Cabriolet,PRX,128,3
2017,Porsche,Porsche,911 Carrera 4 GTS Cabriolet,PRX,127,3
2017,Porsche,Porsche,911 Carrera 4S,PRX,114,3
2017,Porsche,Porsche,911 Carrera 4S,PRX,113,3
2017,Porsche,Porsche,911 Carrera 4S Cabriolet,PRX,116,3
2017,Porsche,Porsche,911 Carrera 4S Cabriolet,PRX,115,3
2017,Porsche,Porsche,911 Carrera Cabriolet,PRX,104,3
