"","isbn","year","isbndb","category"
"0399135782","0399135782",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0399135782",NA
"0440234743","0440234743",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440234743","Fiction"
"0452264464","0452264464",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0452264464","Fiction"
"1841721522","1841721522",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:1841721522","Cooking"
"0971880107","0971880107",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0971880107","Fiction"
"0345402871","0345402871",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345402871","Fiction"
"0345417623","0345417623",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345417623","Fiction"
"0446310786","0446310786",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446310786",NA
"0449005615","0449005615",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449005615","History"
"0060168013","0060168013",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060168013","Fiction"
"0061099686","0061099686",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061099686","Fiction"
"0553582909","0553582909",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553582909","Fiction"
"0671888587","0671888587",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671888587","Fiction"
"0553582747","0553582747",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553582747","Fiction"
"0425182908","0425182908",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425182908","Fiction"
"042518630X","042518630X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:042518630X","Fiction"
"0440223571","0440223571",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440223571","Fiction"
"0842342702","0842342702",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0842342702",NA
"0440225701","0440225701",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440225701","Fiction"
"0380715899","0380715899",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380715899","Fiction"
"0671623249","0671623249",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671623249","Fiction"
"042511774X","042511774X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:042511774X",NA
"0804106304","0804106304",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0804106304","Fiction"
"1853260053","1853260053",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1853260053","Fiction"
"0140067477","0140067477",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0140067477","Humor"
"0345465083","0345465083",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345465083","History"
"1558531025","1558531025",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1558531025","Conduct of life"
"0441783589","0441783589",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0441783589","Fiction"
"0394895894","0394895894",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0394895894","Juvenile Fiction"
"0316769487","0316769487",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316769487","Fiction"
"0679429220","0679429220",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0679429220","History"
"0671867156","0671867156",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671867156","Fiction"
"0312261594","0312261594",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312261594",NA
"0446677450","0446677450",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446677450","Business & Economics"
"0451166892","0451166892",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451166892","Fiction"
"067976397X","067976397X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:067976397X","Fiction"
"0786868716","0786868716",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0786868716","Fiction"
"0446608653","0446608653",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446608653",NA
"0446612545","0446612545",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446612545","Fiction"
"0446612618","0446612618",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446612618",NA
"0451208080","0451208080",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451208080",NA
"0553584383","0553584383",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553584383","Fiction"
"0671027360","0671027360",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671027360","Fiction"
"0316735736","0316735736",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316735736","Fiction"
"0743439740","0743439740",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743439740","True Crime"
"0380619458","0380619458",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380619458","Americans"
"0671042858","0671042858",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671042858","Fiction"
"0425184226","0425184226",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425184226","Fiction"
"0060929790","0060929790",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060929790","Fiction"
"0060976845","0060976845",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060976845","Fiction"
"0061099325","0061099325",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061099325","Fiction"
"0671004573","0671004573",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671004573",NA
"0446601640","0446601640",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446601640","Fiction"
"038572179X","038572179X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:038572179X","Fiction"
"0451410319","0451410319",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451410319","Fiction"
"0553583468","0553583468",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553583468","Fiction"
"0380778556","0380778556",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380778556","Fiction"
"0385336772","0385336772",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385336772","Fiction"
"044651747X","044651747X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:044651747X","Fiction"
"0446527165","0446527165",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446527165","Fiction"
"0671461494","0671461494",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671461494","Fiction"
"0385337639","0385337639",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385337639","Fiction"
"0451206673","0451206673",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451206673","Fiction"
"0330332775","0330332775",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0330332775",NA
"0345354931","0345354931",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345354931","Fiction"
"0553278223","0553278223",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553278223","Fiction"
"0060977493","0060977493",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060977493","Fiction"
"0316602906","0316602906",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316602906",NA
"0316693006","0316693006",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316693006","Fiction"
"0345311396","0345311396",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345311396","Fiction"
"0345378490","0345378490",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345378490","Fiction"
"0345404793","0345404793",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345404793","Fiction"
"0375400117","0375400117",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375400117","Fiction"
"0375705856","0375705856",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375705856","Fiction"
"0380717018","0380717018",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380717018","Fiction"
"0380718332","0380718332",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380718332","Fiction"
"038076654X","038076654X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:038076654X",NA
"0380807866","0380807866",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380807866","Fiction"
"0385497466","0385497466",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385497466","Fiction"
"0385508042","0385508042",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385508042","Fiction"
